game_id,slot,team_id,team_name,score,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
102,2,16,Mira Loma A,110,40,70,11,1,11,7,4,12
103,1,33,Quarry Lane A,10,0,10,2,2,19,1,1,21
103,2,24,BASIS Silicon Valley B,116,36,80,13,4,6,8,5,10
104,1,29,California,86,36,50,11,2,10,5,6,12
104,2,45,Lynbrook B,116,36,80,10,1,12,8,2,13
105,1,30,Chico A,4,4,0,1,0,22,0,0,23
105,2,3,Lynbrook A,198,48,150,16,4,3,15,0,8
106,1,32,Chico B,10,0,10,3,3,17,1,2,20
106,2,46,Mira Loma B,84,44,40,12,1,10,4,8,11
107,1,7,Clovis North,110,40,70,10,0,13,7,3,13
107,2,11,GSB A,76,16,60,8,4,11,6,2,15
108,1,19,Cupertino A,118,48,70,13,1,9,7,6,10
108,2,36,Homestead,44,24,20,6,0,17,2,4,17
109,1,35,Cupertino B,36,16,20,5,1,17,2,3,18
109,2,37,Mountain House A,72,32,40,10,2,11,4,6,13
110,1,9,Davidson A,204,64,140,17,1,5,14,3,6
110,2,6,Foothill A,62,12,50,6,3,14,5,1,17
111,1,43,Los Gatos,46,16,30,6,2,15,3,2,18
111,2,39,El Camino A,30,20,10,6,1,16,1,5,17
112,1,17,Folsom City,80,20,60,8,3,12,6,2,15
112,2,12,Saratoga,124,44,80,12,1,10,8,4,11
113,1,15,Mission San Jose A,220,60,160,18,3,2,16,2,5
113,2,28,GSB B,46,16,30,4,0,19,3,1,19
114,1,13,Irvington A,102,32,70,10,2,11,7,3,13
114,2,44,Miller,68,28,40,8,1,14,4,4,15
115,1,14,Palo Alto,224,64,160,19,3,1,16,3,4
115,2,27,Irvington B,4,4,0,1,0,22,0,1,22
116,1,47,San Mateo,32,12,20,3,0,20,2,1,20
116,2,2,Mission San Jose B,150,40,110,15,5,3,11,3,9
117,1,18,Albany A,10,0,10,2,2,19,1,1,21
117,2,2,Mission San Jose B,168,48,120,16,4,3,12,4,7
118,1,20,Albany B,0,0,0,0,0,23,0,0,23
118,2,9,Davidson A,190,60,130,18,3,2,13,5,5
119,1,1,Amador Valley A,122,32,90,13,5,5,9,4,10
119,2,35,Cupertino B,56,16,40,4,0,19,4,0,19
120,1,22,Amador Valley B,66,16,50,7,3,13,5,2,16
120,2,39,El Camino A,24,4,20,4,3,16,2,2,19
121,1,23,American A,44,24,20,7,1,15,2,5,16
121,2,30,Chico A,50,20,30,7,2,14,3,4,16
122,1,7,Clovis North,152,52,100,15,2,6,10,5,8
122,2,25,American B,22,12,10,3,0,20,1,1,21
123,1,4,Archbishop Mitty A,88,28,60,11,4,8,6,5,12
123,2,38,Dougherty Valley B,20,0,20,5,5,13,2,3,18
124,1,14,Palo Alto,190,60,130,18,3,2,13,5,5
