game_id,slot,team_id,team_name,category,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
8,1,15,Montgomery Blair A,BIOLOGY,16,30,4,0,0,3,1,0
8,1,15,Montgomery Blair A,CHEMISTRY,12,30,3,0,1,3,0,1
8,1,15,Montgomery Blair A,EARTH_SPACE,8,20,2,0,2,2,0,2
8,1,15,Montgomery Blair A,ENERGY,8,20,2,0,1,2,0,1
8,1,15,Montgomery Blair A,MATH,12,30,3,0,1,3,0,1
8,1,15,Montgomery Blair A,PHYSICS,8,20,2,0,2,2,0,2
8,2,16,Shallow Walk team A,BIOLOGY,-4,0,0,1,3,0,0,4
8,2,16,Shallow Walk team A,CHEMISTRY,4,10,1,0,3,1,0,3
8,2,16,Shallow Walk team A,EARTH_SPACE,0,0,1,1,2,0,1,3
8,2,16,Shallow Walk team A,ENERGY,-4,0,0,1,2,0,0,3
8,2,16,Shallow Walk team A,MATH,4,10,1,0,3,1,0,3
8,2,16,Shallow Walk team A,PHYSICS,0,10,2,2,0,1,1,2
9,1,17,North Allegheny,BIOLOGY,8,20,2,0,2,2,0,2
9,1,17,North Allegheny,CHEMISTRY,12,30,3,0,1,3,0,1
9,1,17,North Allegheny,EARTH_SPACE,12,10,3,0,1,1,2,1
9,1,17,North Allegheny,ENERGY,0,0,0,0,3,0,0,3
9,1,17,North Allegheny,MATH,8,20,2,0,2,2,0,2
9,1,17,North Allegheny,PHYSICS,16,20,4,0,0,2,2,0
9,2,18,Montgomery Blair B,BIOLOGY,8,10,2,0,2,1,1,2
9,2,18,Montgomery Blair B,CHEMISTRY,4,10,1,0,3,1,0,3
9,2,18,Montgomery Blair B,EARTH_SPACE,4,10,1,0,3,1,0,3
9,2,18,Montgomery Blair B,ENERGY,12,30,3,0,0,3,0,0
9,2,18,Montgomery Blair B,MATH,8,20,2,0,2,2,0,2
9,2,18,Montgomery Blair B,PHYSICS,-4,0,0,1,3,0,0,4
10,1,19,Poolesville 2,BIOLOGY,0,0,0,0,4,0,0,4
10,1,19,Poolesville 2,CHEMISTRY,4,0,1,0,3,0,1,3
10,1,19,Poolesville 2,EARTH_SPACE,8,0,2,0,2,0,2,2
