rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,2,Noho B,14.0,5,1,6,12,5,40,8.0
2,1,Noho A,13.5,5,4,3,12,5,50,10.0
