rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,2,Noho B,15.0,6,1,5,12,6,40,6.666666666666667
2,1,Noho A,11.0,4,3,5,12,4,40,10.0
