rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,2,Noho B,14.0,6,2,4,12,6,40,6.666666666666667
2,1,Noho A,10.5,5,2,5,12,5,30,6.0
