rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,1,Noho A,21.0,8,2,2,12,8,60,7.5
2,2,Noho B,10.5,4,1,7,12,4,30,7.5
