game_id,tournament_slug,stage,round_number,packet_checksum,question_id,attempt_index,team_id,player_id,result,is_end,location_kind,word_index,option_index,token
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,25,0,team_c9b50ba99f09e8_19da72f2363,player_123f5d5629f09_19da72f373e,incorrect,1,end,,,END
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,25,1,team_59532e2ae46be8_19da72f2363,player_fc7d83a1a978d8_19da72f43d6,correct,1,end,,,END
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,26,0,team_59532e2ae46be8_19da72f2363,,correct,1,end,,,BONUS
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,27,0,team_c9b50ba99f09e8_19da72f2363,player_258aca91ce1868_19da72f373e,incorrect,0,question,7,,observed
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,27,1,team_59532e2ae46be8_19da72f2363,player_bde41f7b101968_19da72f43d6,incorrect,1,end,,,END
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,29,0,team_c9b50ba99f09e8_19da72f2363,player_b3cbbfe93e4ef_19da72f373e,incorrect,0,question,16,,sin
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,29,1,team_59532e2ae46be8_19da72f2363,player_fc7d83a1a978d8_19da72f43d6,correct,1,end,,,END
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,31,0,team_59532e2ae46be8_19da72f2363,player_693e9c527d8308_19da72f43d6,incorrect,0,question,13,,Leptin
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,31,1,team_c9b50ba99f09e8_19da72f2363,player_123f5d5629f09_19da72f373e,correct,1,end,,,END
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,32,0,team_c9b50ba99f09e8_19da72f2363,,incorrect,1,end,,,BONUS
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,33,0,team_c9b50ba99f09e8_19da72f2363,player_b3cbbfe93e4ef_19da72f373e,incorrect,1,end,,,END
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,33,1,team_59532e2ae46be8_19da72f2363,player_bde41f7b101968_19da72f43d6,incorrect,1,end,,,END
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,35,0,team_c9b50ba99f09e8_19da72f2363,player_a5e67d74b6353_19da72f373e,correct,0,option,9,0,zero
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,36,0,team_c9b50ba99f09e8_19da72f2363,,incorrect,1,end,,,BONUS
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,37,0,team_59532e2ae46be8_19da72f2363,player_bde41f7b101968_19da72f43d6,correct,0,option,-1,1,X
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,38,0,team_59532e2ae46be8_19da72f2363,,correct,1,end,,,BONUS
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,39,0,team_c9b50ba99f09e8_19da72f2363,player_258aca91ce1868_19da72f373e,incorrect,0,question,16,,triangle:
20260419T192450Z_m4xauao,dasoni-2,double_elim,1,9f3637017a1faee9f783a0689f6bcfb59988a3e772d87ea4d28a272e3c2fe14d,39,1,team_59532e2ae46be8_19da72f2363,player_fc7d83a1a978d8_19da72f43d6,incorrect,1,end,,,END
