round_number,round_name,packet_name
1,Round 1,DOUBLE ELIMINATION 1
2,Round 2,DOUBLE ELIMINATION 2
3,Round 3,DOUBLE ELIMINATION 3
4,Round 4,DOUBLE ELIMINATION 4
5,Round 5,DOUBLE ELIMINATION 5
6,Round 6,DOUBLE ELIMINATION 6
7,Round 7,ROUND ROBIN 1
8,Round 8,ROUND ROBIN 2
9,Round 9,ROUND ROBIN 3
10,Round 10,ROUND ROBIN 4
11,Round 11,ROUND ROBIN 5
