game_id,slot,team_id,team_name,score,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
51,2,37,Thomas Jefferson,44,4,40,5,4,11,4,1,15
52,1,19,Eastlake,82,32,50,11,3,6,5,6,9
52,2,28,Lynbrook B,92,32,60,8,0,12,6,2,12
53,1,5,BASIS Chandler,36,-4,40,6,7,7,4,2,14
53,2,27,Lynbrook A,116,36,80,10,1,9,8,2,10
54,1,14,Collierville A,26,-4,30,3,4,13,3,0,17
54,2,16,Deap South,126,36,90,11,2,7,9,2,9
55,1,2,American Heritage Broward,44,24,20,6,0,14,2,3,15
55,2,15,Collierville B,28,8,20,4,2,14,2,2,16
56,1,21,Hunter,52,12,40,6,3,11,4,1,15
56,2,25,Lexington B,102,32,70,10,2,8,7,2,11
57,1,13,Clovis North,96,36,60,11,2,7,6,5,9
57,2,30,Morgantown,50,20,30,6,1,13,3,2,15
58,1,3,Arcadia A,58,8,50,7,5,8,5,2,13
58,2,10,Canyon Crest A,84,44,40,11,0,9,4,6,10
59,1,39,WWPS A,112,32,80,12,4,4,8,4,8
59,2,42,Whitney Young,22,12,10,6,3,11,1,4,15
60,1,11,Canyon Crest B,36,16,20,5,1,14,2,2,16
60,2,20,Enloe,106,36,70,10,1,9,7,3,10
61,1,4,Arcadia B,74,24,50,6,0,12,5,1,12
61,2,5,BASIS Chandler,130,40,90,11,1,6,9,2,7
62,1,1,Allen School,102,52,50,13,0,7,5,7,8
62,2,17,Deep Run,0,0,0,1,1,18,0,1,19
63,1,6,BISV A,52,12,40,4,1,15,4,0,16
63,2,33,North Hollywood B,114,44,70,12,1,7,7,5,8
64,1,26,Luka Fan Club,38,8,30,5,3,12,3,2,15
64,2,38,Varun Clemens,118,28,90,13,6,1,9,4,7
65,1,8,Benjamin Franklin,44,24,20,7,1,12,2,5,13
65,2,35,Punahou School,92,32,60,9,1,10,6,3,11
66,1,14,Collierville A,52,32,20,10,2,8,2,8,10
66,2,41,Ward Melville,26,16,10,5,1,14,1,4,15
67,1,12,Clements,122,32,90,13,5,2,9,3,8
67,2,19,Eastlake,56,16,40,5,1,14,4,1,15
68,1,24,Lexington A,118,28,90,11,4,5,9,2,9
68,2,34,Palo Alto,82,32,50,8,0,12,5,3,12
69,1,31,North Allegheny,156,56,100,15,1,4,10,5,5
69,2,36,Quail Valley,36,16,20,5,1,14,2,3,15
70,1,16,Deap South,156,56,100,16,2,2,10,6,4
70,2,43,Woodlands,4,4,0,1,0,19,0,1,19
71,1,23,Iolani B,18,8,10,5,3,12,1,4,15
71,2,40,WWPS B,118,48,70,12,0,8,7,5,8
72,1,9,Bridgeland,16,16,0,5,1,14,0,5,15
72,2,29,MSJ,98,28,70,12,5,3,7,4,9
73,1,21,Hunter,106,36,70,10,1,9,7,3,10
73,2,22,Iolani A,84,24,60,9,3,8,6,3,11
74,1,2,American Heritage Broward,14,4,10,2,1,17,1,1,18
74,2,32,North Hollywood A,136,36,100,13,4,3,10,2,8
75,1,15,Collierville B,22,12,10,3,0,17,1,2,17
75,2,25,Lexington B,78,48,30,15,3,2,3,11,6
76,1,30,Morgantown,66,16,50,5,1,14,5,0,15
76,2,37,Thomas Jefferson,100,40,60,12,2,6,6,6,8
77,1,3,Arcadia A,88,48,40,12,0,8,4,8,8
77,2,7,BISV B,-4,-4,0,1,2,17,0,1,19
78,1,5,BASIS Chandler,104,44,60,12,1,7,6,6,8
78,2,11,Canyon Crest B,0,0,0,0,0,20,0,0,20
79,1,28,Lynbrook B,104,44,60,11,0,9,6,3,11
79,2,42,Whitney Young,8,8,0,2,0,18,0,2,18
80,1,23,Iolani B,80,40,40,11,1,8,4,7,9
80,2,41,Ward Melville,26,16,10,4,0,16,1,3,16
81,1,6,BISV A,26,16,10,4,0,16,1,3,16
81,2,29,MSJ,114,24,90,12,6,2,9,3,8
82,1,34,Palo Alto,52,12,40,7,4,9,4,3,13
82,2,36,Quail Valley,64,24,40,7,1,12,4,2,14
83,1,33,North Hollywood B,60,20,40,8,3,9,4,4,12
83,2,35,Punahou School,46,16,30,7,3,10,3,4,13
84,1,13,Clovis North,72,32,40,9,1,10,4,4,12
84,2,17,Deep Run,16,16,0,5,1,14,0,5,15
85,1,14,Collierville A,130,40,90,12,2,6,9,3,8
85,2,43,Woodlands,12,12,0,3,0,17,0,3,17
86,1,2,American Heritage Broward,0,0,0,0,0,20,0,0,20
86,2,21,Hunter,114,44,70,12,1,7,7,4,9
87,1,22,Iolani A,98,28,70,10,3,7,7,3,10
87,2,25,Lexington B,60,20,40,7,2,11,4,3,13
88,1,8,Benjamin Franklin,34,24,10,7,1,12,1,6,13
88,2,9,Bridgeland,8,8,0,3,1,16,0,3,17
89,1,16,Deap South,134,44,90,13,2,5,9,4,7
89,2,40,WWPS B,26,16,10,4,0,16,1,3,16
90,1,19,Eastlake,96,36,60,10,1,9,6,4,10
90,2,39,WWPS A,66,16,50,9,5,6,5,4,11
91,1,20,Enloe,68,28,40,10,3,7,4,6,10
91,2,27,Lynbrook A,72,32,40,10,2,8,4,6,10
92,1,18,Doral Academy,82,32,50,8,0,12,5,1,14
92,2,24,Lexington A,100,20,80,9,4,7,8,1,11
93,1,15,Collierville B,18,8,10,2,0,18,1,1,18
93,2,32,North Hollywood A,106,36,70,12,3,5,7,5,8
94,1,1,Allen School,116,56,60,15,1,4,6,8,6
94,2,30,Morgantown,-12,-12,0,1,4,15,0,1,19
95,1,10,Canyon Crest A,38,28,10,7,0,13,1,4,15
95,2,38,Varun Clemens,62,12,50,9,6,5,5,4,11
96,1,12,Clements,70,20,50,6,1,13,5,1,14
96,2,22,Iolani A,94,24,70,9,3,8,7,2,11
97,1,1,Allen School,82,32,50,9,1,10,5,4,11
97,2,31,North Allegheny,68,28,40,8,1,11,4,4,12
98,1,24,Lexington A,70,20,50,7,2,11,5,2,13
98,2,38,Varun Clemens,80,20,60,8,3,9,6,2,12
99,1,5,BASIS Chandler,100,40,60,12,2,6,6,5,9
99,2,39,WWPS A,2,-8,10,3,5,12,1,2,17
100,1,29,MSJ,124,44,80,13,2,5,8,5,7
100,2,33,North Hollywood B,32,12,20,4,1,15,2,2,16
101,1,26,Luka Fan Club,52,12,40,5,2,13,4,1,15
101,2,27,Lynbrook A,144,44,100,12,1,7,10,2,8
102,1,13,Clovis North,72,32,40,8,0,12,4,4,12
102,2,32,North Hollywood A,100,40,60,11,1,8,6,5,9
103,1,14,Collierville A,86,36,50,9,0,11,5,2,13
103,2,16,Deap South,94,24,70,7,1,12,7,0,13
104,1,12,Clements,48,8,40,4,2,14,4,0,16
104,2,14,Collierville A,86,36,50,9,0,11,5,4,11
105,1,1,Allen School,22,12,10,5,2,13,1,4,15
105,2,32,North Hollywood A,108,28,80,11,4,5,8,3,9
106,1,33,North Hollywood B,120,40,80,10,0,10,8,2,10
106,2,39,WWPS A,68,28,40,9,2,9,4,3,13
107,1,13,Clovis North,104,44,60,11,0,9,6,5,9
107,2,31,North Allegheny,28,8,20,5,3,12,2,2,16
108,1,5,BASIS Chandler,42,12,30,6,3,11,3,3,14
108,2,29,MSJ,152,52,100,14,1,5,10,2,8
109,1,24,Lexington A,102,32,70,11,3,6,7,4,9
109,2,26,Luka Fan Club,78,28,50,7,0,13,5,2,13
110,1,16,Deap South,116,36,80,12,3,5,8,4,8
110,2,22,Iolani A,56,16,40,7,3,10,4,3,13
111,1,27,Lynbrook A,102,32,70,9,1,10,7,2,11
111,2,38,Varun Clemens,82,12,70,8,5,7,7,0,13
112,1,5,BASIS Chandler,24,4,20,6,5,8,2,4,13
112,2,24,Lexington A,74,24,50,8,2,9,5,3,11
113,1,1,Allen School,30,20,10,5,0,15,1,2,17
113,2,14,Collierville A,26,16,10,6,2,12,1,5,14
114,1,33,North Hollywood B,44,4,40,4,3,13,4,0,16
114,2,38,Varun Clemens,72,32,40,9,1,10,4,5,11
115,1,13,Clovis North,36,16,20,7,3,10,2,5,13
115,2,22,Iolani A,64,24,40,8,2,10,4,4,12
116,1,1,Allen School,4,4,0,2,1,17,0,2,18
116,2,38,Varun Clemens,82,32,50,12,4,4,5,7,8
117,1,27,Lynbrook A,52,12,40,6,3,11,4,2,14
117,2,32,North Hollywood A,36,16,20,7,3,10,2,5,13
118,1,16,Deap South,68,28,40,8,1,11,4,4,12
118,2,29,MSJ,36,-4,40,5,6,9,4,1,15
119,1,22,Iolani A,92,32,60,9,1,10,6,3,11
119,2,32,North Hollywood A,78,28,50,8,1,11,5,3,12
120,1,29,MSJ,60,20,40,9,4,7,4,4,12
120,2,38,Varun Clemens,38,8,30,6,4,10,3,3,14
121,1,22,Iolani A,44,24,20,6,0,14,2,4,14
121,2,29,MSJ,42,12,30,6,3,11,3,3,14
122,1,16,Deap South,34,24,10,7,1,12,1,6,13
122,2,27,Lynbrook A,8,8,0,3,1,16,0,3,17
