game_id,slot,team_id,team_name,category,tossup_points,bonus_points,tossups_correct,tossups_incorrect,tossups_no_penalty,bonuses_correct,bonuses_incorrect,bonuses_unheard
9,2,22,Iolani A,CHEMISTRY,16,20,4,0,0,2,2,0
9,2,22,Iolani A,EARTH_SPACE,16,10,4,0,0,1,3,0
9,2,22,Iolani A,MATH,12,10,3,0,1,1,2,1
9,2,22,Iolani A,PHYSICS,16,30,4,0,0,3,1,0
10,1,18,Doral Academy,BIOLOGY,12,20,3,0,1,2,1,1
10,1,18,Doral Academy,CHEMISTRY,4,10,1,0,3,1,0,3
10,1,18,Doral Academy,EARTH_SPACE,0,0,0,0,4,0,0,4
10,1,18,Doral Academy,MATH,8,0,2,0,2,0,2,2
10,1,18,Doral Academy,PHYSICS,8,10,2,0,2,1,1,2
10,2,34,Palo Alto,BIOLOGY,0,0,1,1,2,0,1,3
10,2,34,Palo Alto,CHEMISTRY,12,20,3,0,1,2,1,1
10,2,34,Palo Alto,EARTH_SPACE,-4,10,1,2,1,1,0,3
10,2,34,Palo Alto,MATH,8,10,2,0,2,1,1,2
10,2,34,Palo Alto,PHYSICS,8,20,2,0,2,2,0,2
11,1,2,American Heritage Broward,BIOLOGY,12,10,3,0,1,1,2,1
11,1,2,American Heritage Broward,CHEMISTRY,0,0,0,0,4,0,0,4
11,1,2,American Heritage Broward,EARTH_SPACE,0,0,0,0,4,0,0,4
11,1,2,American Heritage Broward,MATH,8,0,2,0,2,0,1,3
11,1,2,American Heritage Broward,PHYSICS,4,10,1,0,3,1,0,3
11,2,25,Lexington B,BIOLOGY,-4,0,0,1,3,0,0,4
11,2,25,Lexington B,CHEMISTRY,16,40,4,0,0,4,0,0
11,2,25,Lexington B,EARTH_SPACE,8,0,2,0,2,0,2,2
11,2,25,Lexington B,MATH,8,10,2,0,2,1,1,2
11,2,25,Lexington B,PHYSICS,8,10,3,1,0,1,2,1
12,1,9,Bridgeland,BIOLOGY,8,10,2,0,2,1,1,2
12,1,9,Bridgeland,CHEMISTRY,8,10,2,0,2,1,1,2
12,1,9,Bridgeland,EARTH_SPACE,-4,0,0,1,3,0,0,4
12,1,9,Bridgeland,MATH,8,0,2,0,2,0,2,2
12,1,9,Bridgeland,PHYSICS,4,10,1,0,3,1,0,3
12,2,35,Punahou School,BIOLOGY,-4,0,0,1,3,0,0,4
12,2,35,Punahou School,CHEMISTRY,4,20,2,1,1,2,0,2
12,2,35,Punahou School,EARTH_SPACE,12,20,3,0,1,2,1,1
12,2,35,Punahou School,MATH,8,10,2,0,2,1,1,2
12,2,35,Punahou School,PHYSICS,8,10,2,0,2,1,1,2
13,1,14,Collierville A,BIOLOGY,12,10,3,0,1,1,2,1
13,1,14,Collierville A,CHEMISTRY,8,20,3,1,0,2,1,1
13,1,14,Collierville A,EARTH_SPACE,4,0,1,0,3,0,1,3
13,1,14,Collierville A,MATH,8,0,2,0,2,0,2,2
13,1,14,Collierville A,PHYSICS,12,20,3,0,1,2,1,1
13,2,23,Iolani B,BIOLOGY,0,0,0,0,4,0,0,4
13,2,23,Iolani B,CHEMISTRY,-8,0,0,2,2,0,0,4
13,2,23,Iolani B,EARTH_SPACE,8,0,2,0,2,0,2,2
13,2,23,Iolani B,MATH,8,20,2,0,2,2,0,2
13,2,23,Iolani B,PHYSICS,0,0,1,1,2,0,1,3
14,1,11,Canyon Crest B,BIOLOGY,0,0,0,0,4,0,0,4
14,1,11,Canyon Crest B,CHEMISTRY,0,0,0,0,4,0,0,4
14,1,11,Canyon Crest B,EARTH_SPACE,0,0,0,0,4,0,0,4
14,1,11,Canyon Crest B,MATH,0,0,0,0,4,0,0,4
14,1,11,Canyon Crest B,PHYSICS,0,0,0,0,4,0,0,4
14,2,27,Lynbrook A,BIOLOGY,12,20,3,0,1,2,1,1
14,2,27,Lynbrook A,CHEMISTRY,16,40,4,0,0,4,0,0
14,2,27,Lynbrook A,EARTH_SPACE,8,0,2,0,2,0,2,2
14,2,27,Lynbrook A,MATH,16,40,4,0,0,4,0,0
14,2,27,Lynbrook A,PHYSICS,16,30,4,0,0,3,1,0
15,1,3,Arcadia A,BIOLOGY,8,10,2,0,2,1,1,2
15,1,3,Arcadia A,CHEMISTRY,12,30,3,0,1,3,0,1
15,1,3,Arcadia A,EARTH_SPACE,8,0,2,0,2,0,2,2
15,1,3,Arcadia A,MATH,4,10,1,0,3,1,0,3
15,1,3,Arcadia A,PHYSICS,12,20,3,0,1,2,1,1
15,2,26,Luka Fan Club,BIOLOGY,4,0,1,0,3,0,1,3
15,2,26,Luka Fan Club,CHEMISTRY,-4,10,1,2,1,1,0,3
15,2,26,Luka Fan Club,EARTH_SPACE,0,10,1,1,2,1,0,3
15,2,26,Luka Fan Club,MATH,12,30,3,0,1,3,0,1
15,2,26,Luka Fan Club,PHYSICS,0,10,1,1,2,1,0,3
16,1,21,Hunter,BIOLOGY,12,10,3,0,1,1,2,1
16,1,21,Hunter,CHEMISTRY,12,30,3,0,1,3,0,1
16,1,21,Hunter,EARTH_SPACE,0,0,0,0,4,0,0,4
16,1,21,Hunter,MATH,0,0,0,0,4,0,0,4
16,1,21,Hunter,PHYSICS,8,10,2,0,2,1,1,2
16,2,32,North Hollywood A,BIOLOGY,4,10,1,0,3,1,0,3
16,2,32,North Hollywood A,CHEMISTRY,4,10,1,0,3,1,0,3
16,2,32,North Hollywood A,EARTH_SPACE,12,10,3,0,1,1,2,1
16,2,32,North Hollywood A,MATH,16,30,4,0,0,3,1,0
16,2,32,North Hollywood A,PHYSICS,4,10,2,1,1,1,1,2
17,1,4,Arcadia B,BIOLOGY,12,10,3,0,1,1,2,1
17,1,4,Arcadia B,CHEMISTRY,4,0,1,0,3,0,1,3
17,1,4,Arcadia B,EARTH_SPACE,4,0,1,0,3,0,1,3
17,1,4,Arcadia B,MATH,8,20,2,0,2,2,0,2
17,1,4,Arcadia B,PHYSICS,0,10,1,1,2,1,0,3
17,2,20,Enloe,BIOLOGY,0,0,0,0,4,0,0,4
17,2,20,Enloe,CHEMISTRY,12,30,3,0,1,3,0,1
17,2,20,Enloe,EARTH_SPACE,4,0,2,1,1,0,1,3
17,2,20,Enloe,MATH,8,10,2,0,2,1,1,2
17,2,20,Enloe,PHYSICS,12,20,3,0,1,2,1,1
18,1,6,BISV A,BIOLOGY,8,20,3,1,0,2,1,1
18,1,6,BISV A,CHEMISTRY,0,10,1,1,2,1,0,3
18,1,6,BISV A,EARTH_SPACE,8,0,2,0,2,0,2,2
18,1,6,BISV A,MATH,8,0,2,0,2,0,2,2
18,1,6,BISV A,PHYSICS,8,20,3,1,0,2,1,1
