rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,4,MIT Team #2,29.454545454545453,28,2,14,44,28,220,7.857142857142857
2,2,CMU,23.4,19,3,18,40,19,170,8.947368421052632
3,6,University of Alabama Birmingham,20.0,17,2,21,40,17,140,8.235294117647058
4,3,Quizbowlers,19.0,17,2,21,40,17,130,7.647058823529412
5,1,MIT Team #1,17.454545454545453,19,6,19,44,19,140,7.368421052631579
6,5,where is the goal keeper,12.6,14,5,21,40,14,90,6.428571428571429
