rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,5,MIT Team #2,29.636363636363637,30,6,8,44,30,230,7.666666666666667
2,3,MIT Team #1,21.818181818181817,24,9,11,44,24,180,7.5
3,2,Quizbowlers,18.90909090909091,21,4,17,42,21,140,6.666666666666667
4,6,University of Alabama Birmingham,8.6,12,8,20,40,12,70,5.833333333333333
5,1,where is the goal keeper,7.454545454545454,9,1,32,42,9,50,5.555555555555555
6,4,CMU,6.2,7,4,29,40,7,50,7.142857142857143
