rank,team_id,name,wins,losses,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,4,MIT Team #2,10,1,127.81818181818181,138,34,81,253,138,990,7.173913043478261
2,1,MIT Team #1,8,3,120.9090909090909,132,47,74,253,132,990,7.5
3,3,Quizbowlers,6,4,92.4,94,23,113,230,94,640,6.808510638297872
4,6,University of Alabama Birmingham,4,6,99.2,99,36,95,230,99,740,7.474747474747475
5,2,CMU,2,8,83.0,84,24,122,230,84,590,7.023809523809524
6,5,where is the goal keeper,1,9,62.4,72,16,142,230,72,400,5.555555555555555
