rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,4,MIT Team #2,31.636363636363637,32,5,7,44,32,240,7.5
2,1,MIT Team #1,31.09090909090909,29,6,9,44,29,250,8.620689655172415
3,6,University of Alabama Birmingham,17.4,19,8,13,40,19,130,6.842105263157895
4,2,CMU,10.2,12,4,24,40,12,70,5.833333333333333
5,3,Quizbowlers,7.4,10,4,26,40,10,50,5.0
6,5,where is the goal keeper,4.6,7,3,30,40,7,30,4.285714285714286
