rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,3,MIT Team #1,22.0,23,5,5,33,23,170,7.391304347826087
2,2,Quizbowlers,16.181818181818183,16,4,13,33,16,130,8.125
3,4,CMU,11.8,12,5,13,30,12,90,7.5
4,5,MIT Team #2,11.090909090909092,14,6,13,33,14,90,6.428571428571429
5,6,University of Alabama Birmingham,10.4,12,6,12,30,12,80,6.666666666666667
6,1,where is the goal keeper,8.545454545454545,13,2,18,33,13,50,3.8461538461538463
