rank,team_id,name,points_per_game,4s,-4s,0s,tossups_heard,bonuses_heard,bonus_points,points_per_bonus
1,6,University of Alabama Birmingham,22.6,22,8,10,40,22,170,7.7272727272727275
2,4,CMU,14.8,16,4,20,40,16,100,6.25
3,2,Quizbowlers,14.0,16,5,21,42,16,110,6.875
4,5,MIT Team #2,12.727272727272727,16,6,22,44,16,100,6.25
5,1,where is the goal keeper,9.636363636363637,11,2,29,42,11,70,6.363636363636363
6,3,MIT Team #1,8.545454545454545,14,8,22,44,14,70,5.0
